Database Name,URL,Description
Linguistics and Language Behavior Abstracts,https://libguides.asu.edu/linglangbehavior,"Coverage:1973+Maximum Concurrent Users:UnlimitedIndexes books, conferences, dissertations, theses, and scholarly journals on the nature and use of language. Covers linguistics (nature and structure of human speech); language (speech sounds, sentence and word structure, meaning, spelling, phonetics); and pathology of speech, language, and hearing."
Literary Encyclopedia,https://libguides.asu.edu/litencyc,An online reference work that provides authoritative articles about literary and cultural history.
Literature Online,https://libguides.asu.edu/litonline,"Searchable collections of primary literary texts, critical analysis, and resources for studying authors, works, and movements in literature."
Literaturnaia gazeta Digital Archive (1929-2016),https://libguides.asu.edu/literaturnaia,"A vital resource for students of Russian language and literature, featuring literary criticism, excerpts, and articles on various topics like economics, sociology, and scientific progress."
LOCUS - SIAM's Online Journal Archive,https://libguides.asu.edu/locussiams,"Find full-text access to early SIAM journal publications, including searchable PDFs and linked citations from major reviewing services, with coverage 1953-1996."
Loeb Classical Library,https://libguides.asu.edu/loebclassical,"Searchable collection of classical Greek and Latin literature with facing-page English translations, enhanced by introductions, commentary, cross-referencing, and tools for reading, annotating, and sharing"
Los Angeles Times (ProQuest),https://libguides.asu.edu/latimes,"Find articles and editorials from the Los Angeles Times since Dec 1996, excluding images and ads."
Luthers Werke,https://libguides.asu.edu/lutherwerke,"Explore the complete writings of Martin Luther (1483–1546). The Weimar Edition is a vital resource for scholars of German literature, theology, history, and philosophy."
Making of America (MOA),https://libguides.asu.edu/makingamermichigan,"digitized primary sources focused on 19th-century American social history, with strengths in education, psychology, history, religion, science, and sociology."
"Making of Modern Law: Foreign Primary Sources, 1600--1970 (Gale Primary Sources)",https://libguides.asu.edu/mmlaw-foreignps,"Access to four centuries of historical legal codes, statutes, regulations, and commentaries from various jurisdictions across the world, primarily focusing on Europe and including significant coverage of British, French, and German legal documents."
"Making of Modern Law: Foreign, Comparative, and International Law, 1600--1926 (Gale Primary Sources)",https://libguides.asu.edu/mmlforeign,"Consists of Law, Islamic Law, Jewish Law, and Ancient Law sourced from the collections of the Yale, George Washington University, and Columbia law libraries."
"Making of Modern Law: Legal Treatises, 1800--1926 (Gale Primary Sources)",https://libguides.asu.edu/mmltreatises18001926,Provides legal treatises on US and British law published from 1800 through 1926 with full-text searching.
Making of Modern Law: Primary Sources (Gale Primary Sources),https://libguides.asu.edu/mmlprimary,"A vast collection of legal documents from the seventeenth through the early twentieth centuries. It includes works by major legal theorists such as Grotius and Vattel, as well as foreign legal treatises, comparative law texts, and international law resources. The collection covers diverse legal systems, including Roman, Islamic, Jewish, and ancient laws, and features materials from Yale Law Library, George Washington University Law Library, and Columbia Law Library​."
"Making of Modern Law: U.S. Supreme Court Records and Briefs, 1832--1978 (Gale Primary Sources)",https://libguides.asu.edu/mmlusct,"Contains the records and briefs brought before the U.S. Supreme Court from 1832 to 1978. The collection is derived from two reference sources. For 1832 through 1915, the documents are based primarily on the holdings of the Jenkins Memorial Law Library in Philadelphia. For 1915 to 1978, the source is the Library of the Association of the Bar of the City of New York."
Manchester Studies in Imperialism,https://libguides.asu.edu/manchesterimperial,"Explore the impacts of imperialism on both dominant and subordinate societies. With over a hundred titles, it focuses on cross-disciplinary work in areas such as culture, gender, law, science, language, and migration."
Mary Ann Liebert Publications,https://libguides.asu.edu/maryannliebert,"Provides access to peer-reviewed science journals published by Mary Ann Liebert, Inc."
MAS Ultra - School Edition,https://libguides.asu.edu/masultra,"A database designed for high school and lower division college students, featuring content from popular magazines, reference books, biographies, primary source documents like speeches, and images such as maps and photographs."
Material ConneXion,https://libguides.asu.edu/materialconnexion,"Provides curated information on innovative and sustainable materials with details on properties, applications, and sourcing for design and engineering projects."
MathSciNet,https://libguides.asu.edu/mathscinet,"Search mathematical sciences literature with expert reviews, bibliographic records dating back to the early 1800s, and citation data for articles, books, and journals."
MathSciNet via EBSCOhost,https://libguides.asu.edu/mathsciebsco,"Access to mathematical sciences literature, expert reviews, and bibliographic data since the early 1800s, integrated with EBSCOhost for easy searching of over 1.9 million articles."
Medicine and Madison Avenue,https://libguides.asu.edu/medicinemadision,"Digital collection features health-related advertisements from 1910 to 1960, highlighting the evolution of medical marketing in the U.S. and its impact on consumer culture."
MEDLINE (ProQuest),https://libguides.asu.edu/medline,"This database is the premier bibliography in biomedicine and the life sciences, compiled by The National Library of Medicine. It contains a broad range of medical topics relating to research, clinical practice, administration, policy issues and health care services."
MedlinePlus,https://libguides.asu.edu/medlineplus,"Reliable, plain-language health and wellness information on conditions, drugs, tests, and treatments from U.S. National Library of Medicine and NIH."
Mendeley,https://libguides.asu.edu/mendeley,"Mendeley is a free, web-based reference manager, PDF organizer, and academic social network that can help you organize your research, collaborate with others online, and discover related research."
Mental Measurements Yearbook with Tests in Print,https://libguides.asu.edu/mentalmeasure,"Produced by the Buros Center for Testing at the University of Nebraska, this database features over 3,000 contemporary testing instruments. Each entry in the Mental Measurements Yearbook (MMY) includes descriptive details (test purpose, publisher, pricing) and expert reviews."
Mergent Archives,https://libguides.asu.edu/mergentarch,"Historical corporate and industry documents, including annual reports, equity research, and municipal and government manuals not available in current Mergent platforms."
Mergent Intellect,https://libguides.asu.edu/mergentintellect,"Business intelligence on U.S. and global companies, including private firms, executives, industry research, and demographics, with tools for creating custom reports and accessing First Research industry profiles."
Mergent Market Atlas (formerly Mergent Online),https://libguides.asu.edu/mergentonline,"Provides detailed financials, executive profiles, ESG (environmental, social, governance) insights, and economic data on U.S. and global public companies. It includes tools for analyzing industries, countries, and markets. This resource replaces Mergent Online and offers similar core content, along with enhanced sustainability data.Please note: Analyst reports previously found in Mergent Online (via Investext) arenot includedin Market Atlas. We are actively working to identify a replacement source for this content."
Mergent Market Atlas,https://libguides.asu.edu/marketatlas,"Provides detailed financials, executive profiles, sustainability insights, and economic data on global public companies, with tools for analyzing industries, countries, and markets."
Mexican American Index,https://libguides.asu.edu/mexiamer,Chicana/o Research Collection that documents Mexican-American history and culture primarily in the Arizona and Southwest region.
MGG Online,https://libguides.asu.edu/mgg,"German-language encyclopedia featuring scholarly articles on music and related fields such as literature, philosophy, and the arts."
Middle English Compendium,https://libguides.asu.edu/midengcompendium,"Coverage:1100-1500Maximum Concurrent Users:UnlimitedConnects to the online editions of three major Middle English resources: Middle English Dictionary (MED), a HyperBibliography of Middle English prose and verse based on bibliographies in MED, and a Corpus of Middle English Prose and Verse. Also provides links to other related sources online."
Military & Government Collection,https://libguides.asu.edu/militarygovt,"Comprehensive coverage of military and government news, offering full text for nearly 300 journals and periodicals, as well as indexing and abstracts for over 400 titles."
Mintel Academic Reports,https://libguides.asu.edu/mintelacademic,"Market research reports on U.S. consumer markets in sectors like beauty, food, health, household goods, retail, technology, travel, and lifestyles."
MIT CogNet,https://libguides.asu.edu/mitcognet,"Comprehensive digital resource offering access to foundational and current research in cognitive science, including full-text books, journals, and reference materials."
MIT Press Direct,https://libguides.asu.edu/mitdirect,"MIT Press Direct includes two collections of scholarly e-books from MIT Press: STEAM (Science, Technology, Engineering, the Arts, and Mathematics) and HSS (Humanities and Social Sciences)."
MLA Directory of Periodicals,https://libguides.asu.edu/mlaperios,"The searchable directory lists periodicals and series covered in the MLA Bibliography, providing editorial contacts, publication frequency, scope descriptions, circulation and subscription details, advertising info, submission guidelines, and peer-review status. It also includes statistics on annual article and book review publications and submissions."
MLA International Bibliography with Full Text,https://libguides.asu.edu/MLAbib,"Indexed and full-text access to scholarly works on language, literature, linguistics, rhetoric, writing studies, folklore, film, and theater, with global coverage in over 70 languages."
Morningstar Investing Center,https://libguides.asu.edu/morningstar,"Find performance data and investment ratings for mutual funds, stocks, and ETFs, along with screening and portfolio diagnostic tools. Includes analyst reports, corporate bond ratings, and 10 years of historical performance data."
Ms. Magazine Archive,https://libguides.asu.edu/ms-magazine,"Find full issues of the feminist magazine Ms., featuring articles, essays, interviews, and more on women's rights, gender justice, and global feminism."
Music ID,https://libguides.asu.edu/musicindustrydata,"Maximum Concurrent Users:UnlimitedThis is a database of popular music chart data from around the world.  Music Industry Data (formerly Academic Charts Online: International Popular Music (ACO-IPM)) includes data gathered from the US, UK, Europe, South America and Asia, providing an authoritative database of information under exclusive academic license from Billboard, the Official Charts Company and many more, allowing users to interpret and analyze the data on charts, songs, albums, artists and labels."
Music Index,https://libguides.asu.edu/musicidx,"Covers a variety of music, from classical to popular. Includes topics on music, book and recording reviews, highlights of new performances, and obituaries, spanning from 1979 to 1998."
Music Online: African American Music Reference,https://libguides.asu.edu/musicafrican,"Explore the history and legacy of African American music through biographies, essays, images, lyrics, and discographies in jazz, blues, gospel, hip-hop, and more."
Music Online: American Music,https://libguides.asu.edu/musicamerican,"Curated audio archive of U.S. musical traditions, including indigenous, folk, immigrant, work-song and protest repertoires to country, blues, gospel and early jazz."
Music Online: Classical Music Library,https://libguides.asu.edu/musicclassicallib,A streaming online classical music database providing access to licensed recordings sourced from many major music labels. The site also includes program notes.
Music Online: Classical Music Reference Library​​,https://libguides.asu.edu/musicclassicalref,"Essential reference materials on Western classical music, featuring the first electronic editions of Baker's Dictionary of Music, Baker's Biographical Dictionary of Musicians, and Baker's Student Encyclopedia of Music."
"Music Online: Classical Scores Library, Volume I",https://libguides.asu.edu/musicclassicalv1,"A vast collection of important classical music scores, manuscripts, and unpublished material is available for studying various genres, including orchestral, chamber, opera, vocal, solo, and choral works."
Music Online: Contemporary World Music,https://libguides.asu.edu/musiccontemp,"A large collection of music from around the world in all genres, from traditional to contemporary. Over 150,000 albums and growing."
Music Online: Jazz Music Library,https://ezproxy1.lib.asu.edu/login?url=https://search.alexanderstreet.com/jazz,"Offers the largest collection of streaming jazz music available online, with recordings from key genres, artists, and labels spanning the history of jazz. It’s essential for studying jazz history, performance, and appreciation."
Music Online: Listening,https://libguides.asu.edu/musp,"Explore a vast collection of streaming music across multiple genres, supporting music research, teaching, and personal discovery with millions of tracks and continuously updated albums."
Music Online: Opera in Video,https://libguides.asu.edu/musicoperavideo,"Notable opera performances are captured on video through staged productions, interviews, and documentaries, highlighting the world's leading performers, conductors, and opera houses based on their significance to the operatic canon."
Music Online: Popular Music Library,https://libguides.asu.edu/pops,Explore a vast collection of popular music from all genres and eras. Ideal for studying the development of popular music and its cultural impact through high-quality streaming audio.
Music Online: Reference,https://libguides.asu.edu/musicreference,"Search essential reference materials on Western classical music, featuring authoritative titles like The Garland Encyclopedia of World Music, Baker’s Dictionary of Music, Baker’s Bibliographical Dictionary of Musicians, and Baker’s Student Encyclopedia of Music."
Music Online: Smithsonian Global Sound for Libraries,https://libguides.asu.edu/musicsmithsonian,"In collaboration with Smithsonian Folkways Recordings, this collection serves as a virtual encyclopedia of global musical traditions, offering a wealth of online resources for creating and preserving diverse musical forms, including published recordings and field recordings from Africa, South Asia, and North America."
Music Online: The Garland Encyclopedia of World Music,https://libguides.asu.edu/musicgarland,"Collection devoted to global music research, featuring expert articles and streaming audio recordings."
Music Periodicals Database,https://libguides.asu.edu/musicperios,"Coverage:1874+Maximum Concurrent Users:4The Music Periodicals Database is a specialized online index of music journals supporting research of the world of music ranging from scholarly studies to popular music. It includes articles found in international music periodicals, and features music articles and obituaries appearing in prominent newspapers and other publications."
Myanmar Book Centre Membership Program,https://libguides.asu.edu/myanmar,"Provides digitized books, newspapers, and manuscripts on Burmese history, literature, religion, and culture, including rare and traditional formats."
NASA Science Explorer (SciX),https://libguides.asu.edu/scix,"Multidisciplinary research portal connecting literature, data, and tools across astronomy, earth science, heliophysics, physics, and planetary science to support open and collaborative science."
National Council of Teachers of English Journals,https://libguides.asu.edu/natlteachers,"Peer-reviewed content featuring research, classroom strategies, and innovative ideas for educators in English language arts across all educational levels, covering topics like rhetoric, composition, literature, language, and literacy education​"
National Geographic Magazine Archive (Gale Primary Sources),https://libguides.asu.edu/natgeo,"A comprehensive digital collection of every page of every issue of National Geographic magazine, enriched with cross-searchable books, maps, images, and videos from its inception in 1888 to the present​"
National Technical Reports Library (NTRL),https://libguides.asu.edu/natltechinfo,"Provides searchable access to millions of federally funded scientific, technical, engineering, and business research reports archived by the U.S. government."
National Theatre Collection,https://libguides.asu.edu/nath,"Streaming video collection of world-class theatrical productions from the U.K.'s National Theatre Archive, featuring exclusive archival materials like prompt scripts and costume designs for behind-the-scenes insights."
National Transportation Library (NTL),https://libguides.asu.edu/trid,"Provides open access to U.S. transportation research, datasets, and historical reports from the federal government."
Native American Tribal Histories,https://libguides.asu.edu/NATHX,"Digitized records from U.S. Bureau of Indian Affairs superintendents, including correspondence, reports, and treaties, document the oversight and experiences of Native American tribes from 1813 to 1880."
Nature Journals Online,https://libguides.asu.edu/naturejrnls,Find journals spanning the spectrum of science and medicine.
Naxos Music Library,https://libguides.asu.edu/naxosmusic,"Streaming access to a comprehensive library of classical, jazz, and world music tracks, along with educational materials and playlists."
Naxos Sheet Music Library,https://libguides.asu.edu/naxossheetmusic,"Digital sheet music in all classical genres from Medieval to the 21st century, allowing users to download and print scores using the Solero viewer, which enables transposing, tempo adjustment, and listening to selections​."
Naxos Video Library,https://libguides.asu.edu/naxosvideolibrary,"A streaming video collection of classical music performances, opera, ballet, theater productions, and documentaries from major performing arts companies worldwide."
NetAdvantage,https://libguides.asu.edu/netadvantage,"Offers profiles of companies, executive compensation, financial data, SEC filings, mutual fund info, historical prices, corporate bonds, industry surveys, market indices (like S&P), and news commentary."
Neue Mozart Ausgabe Online,https://libguides.asu.edu/neuemozart,"Find digitized scores and critical commentaries of Mozart's complete works, offering searchable access by Köchel number, key, editor, and more."
New Play Exchange,https://libguides.asu.edu/npx,"A digital library of scripts by living writers, offering an open platform for sharing and discovering new plays. It serves writers, producers, directors, and theater fans alike."
Nexis Uni,https://libguides.asu.edu/nexisuni,"Find full text of various newspapers, trade publications, legal periodicals, and journals. Includes company directories, financial reports, biographies, federal/state laws, regulations, court opinions, and news transcripts."
Nihon Rekishi Chimei Taikei,https://libguides.asu.edu/nihonrekishi,"A continuously updated online version of the 50-volumeJapanese Historical Gazetteerpublished by Heibonsha, offering full-text historical descriptions of place names with maps, references to historical texts, and some images or scanned materials; primarily in Japanese, with limited English."
Nineteenth Century Collections Online (Gale Primary Sources),https://libguides.asu.edu/ncco,"Global digitized primary source collections from the long nineteenth century, including rare monographs, newspapers, pamphlets, manuscripts, maps, photographs, and more in Western and non-Western languages, curated by international experts."
Nineteenth Century U.S. Newspapers (Gale Primary Sources),https://libguides.asu.edu/19usnews,Searchable database containing digital facsimile images of newspapers; presented as full page layout as well as single articles; advertisements and illustrations included. This collection includes numerous newspapers from a range of urban and rural regions throughout the U.S.; and it encompasses the entire 19th century.
Nineteenth Century UK Periodicals (Gale Primary Sources),https://libguides.asu.edu/19ukperios,"A full-text collection of 19th-century UK periodicals, covering women's, children's, humor, leisure, and empire topics, providing invaluable resources for studying British life and culture during that era."
North American City Reports,https://libguides.asu.edu/nacr,"Urban policy documents and reports from cities across North America, focusing on issues like climate change, public health, and social equity."
North American Indian Drama,https://libguides.asu.edu/noamindiandrama,"Showcases plays by American Indian and First Nation playwrights from the twentieth century, with many unpublished works. It features diverse tribal voices, including Cherokee, Métis, Creek, Choctaw, and Navajo, highlighting traditional storytelling and modern drama."
North American Indian Thought and Culture,https://libguides.asu.edu/noamindianthought,"Features previously unpublished biographical information and personal narratives from indigenous peoples across North America, including autobiographies, oral histories, and multimedia elements, offering a comprehensive view of their life stories and historical experiences in their own words."
North American Women's Drama,https://libguides.asu.edu/noamwomens,"Selected plays by North American women playwrights from colonial times to today, with detailed information on productions, theaters, companies, playbills, and photographs."
Nucleic Acids Abstracts,https://libguides.asu.edu/nucleicacids,Coverage:1982+Maximum Concurrent Users:UnlimitedDetailed perspectives on innovative cloning and sequencing strategies are available in this database.
NUMDAM,https://libguides.asu.edu/numdam,"A digital library providing open access to French and European research in mathematics, including journals, books, theses, and conference proceedings, available in PDF and DjVu formats."
Nursing and Mental Health in Video: A Symptoms Media,https://libguides.asu.edu/nursingmentalhlth,"A video collection of the most common mental health disorders nurses may encounter – whether in a primary care setting, emergency room, medical, psychiatric or other. The visual examples prepare nurses to assess, diagnose, and manage health issues in patients."
Nursing Education in Video,https://libguides.asu.edu/nursingeducation,"Video collection for nursing and allied health education, covering topics like airway management, anatomy, anxiety disorders, basic clinical skills, cardiology, and nutrition. Created under the guidance of MedCom-Trainex, the world's largest producer of nursing education videos."
O'Reilly for Higher Education,https://libguides.asu.edu/Oreilly,"Access all eBooks published by O’Reilly, covering topics such as programming, IT networking, project management, graphic design, and business strategy. Available formats include audiobooks, videos, and on-demand learning courses."
